Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2000,Kids,Training,SuperRep Go,M,2.0,6110.030000000001,0.47,0.0,2024-03-09,Online,bengaluru,-770.45
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,0.0,2024-07-09,Retail,Hyd,-112.53
2002,Women,Soccer,Premier III,M,4.0,6110.030000000001,0.0,0.0,2024-07-09,Retail,Mumbai,3337.34
2003,Kids,Lifestyle,Blazer Mid,L,2.0,9673.57,0.0,0.0,04-10-2024,Online,Pune,3376.85
2004,Kids,Running,React Infinity,XL,2.0,6110.030000000001,0.0,0.0,2024/09/12,Retail,Delhi,187.89
2005,Women,Training,Flex Trainer,M,1.0,7363.96,0.0,0.0,2024/09/12,Retail,Delhi,1415.98
2006,Men,Training,SuperRep Go,M,2.0,6819.78,0.0,0.0,04-06-2025,Online,Bangalore,1802.09
2007,Kids,Training,SuperRep Go,M,1.0,6110.030000000001,0.32,0.0,04-06-2025,Retail,Bangalore,2928.36
2009,Men,Soccer,Mercurial Superfly,M,4.0,6110.030000000001,0.0,0.0,11-10-2024,Online,Pune,3929.61
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.0,0.0,2025/01/16,Online,Pune,1965.56
2013,Kids,Training,SuperRep Go,Unknown,2.0,9671.05,0.0,0.0,19-09-2024,Online,hyderbad,299.34
2014,Women,Running,React Infinity,11,2.0,6110.030000000001,0.0,0.0,2025-04-12,Online,Bangalore,-1044.4
2015,Kids,Basketball,Air Jordan,Unknown,2.0,3285.52,0.0,0.0,31-05-2025,Retail,Kolkata,1193.21
2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,6910.22,31-05-2025,Retail,hyderbad,2452.69
2017,Women,Basketball,Air Jordan,9,4.0,6110.030000000001,0.0,0.0,17-03-2025,Retail,Delhi,1946.24
2022,Women,Soccer,Premier III,M,2.0,6110.030000000001,0.0,0.0,2024/09/24,Online,Pune,3427.16
2023,Men,Lifestyle,Waffle One,M,2.0,5003.95,0.0,0.0,10-01-2025,Online,Mumbai,1498.37
2025,Women,Basketball,Kyrie Flytrap,M,3.0,9820.5,0.0,0.0,28-12-2024,Retail,Mumbai,1900.15
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64
2027,Men,Basketball,Zoom Freak,XL,2.0,6110.030000000001,0.22,0.0,2024-08-10,Online,Pune,-138.74
2028,Men,Training,Flex Trainer,12,2.0,3270.23,0.0,0.0,2024-08-10,Retail,Delhi,-946.86
2030,Men,Soccer,Phantom GT,XL,2.0,6110.030000000001,1.05,0.0,2025/07/14,Retail,Hyd,-122.93
2031,Men,Soccer,Premier III,Unknown,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7
2032,Women,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,1.07,0.0,11-04-2025,Retail,Mumbai,-555.16
2034,Men,Basketball,Air Jordan,6,2.0,6235.71,0.0,0.0,30-04-2025,Retail,Delhi,-267.37
2035,Kids,Basketball,Zoom Freak,Unknown,4.0,6110.030000000001,0.38,0.0,17-11-2024,Online,Bangalore,2914.83
2036,Men,Training,Metcon 7,Unknown,3.0,6110.030000000001,0.0,0.0,15-02-2025,Retail,Bangalore,-143.8
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,-169.59,15-02-2025,Retail,Pune,2776.96
2039,Women,Training,Flex Trainer,M,2.0,2767.7,0.63,0.0,22-04-2025,Retail,hyderbad,-336.3
2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,0.0,0.0,07-03-2025,Retail,Delhi,145.08
2041,Kids,Soccer,Tiempo Legend,12,2.0,5553.88,0.0,0.0,2025/03/05,Online,Hyd,2371.66
2042,Women,Basketball,Kyrie Flytrap,L,2.0,6110.030000000001,0.0,0.0,2025/04/19,Online,hyderbad,-862.16
2043,Men,Soccer,Premier III,XL,2.0,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75
2044,Kids,Training,SuperRep Go,Unknown,2.0,6110.030000000001,0.0,0.0,2023-09-06,Online,Delhi,2174.71
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6110.030000000001,0.0,0.0,2025-04-06,Retail,Delhi,1833.94
2046,Kids,Running,Air Zoom,12,2.0,6110.030000000001,1.04,0.0,2025-04-06,Online,Kolkata,1284.33
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,0.0,2024-06-13,Retail,Bangalore,2888.68
2048,Women,Basketball,Air Jordan,XL,2.0,6110.030000000001,0.0,0.0,27-10-2024,Online,Bangalore,2875.86
2049,Kids,Soccer,Tiempo Legend,L,1.0,7767.2,0.0,0.0,27-10-2024,Retail,Pune,311.48
